T(K),log10(rho),log10(con),Z,Znuc
18000,-2.383,3.91094,1.37579,28
16000,-2.47366,3.79372,1.30748,28
4000,0.640028,5.59298,3.11379,28
6000,0.404101,5.43907,2.36348,28
6000,0.250493,5.2765,1.96301,28
8000,-0.0508736,4.66479,1.40741,28
10000,-0.596982,3.87181,0.923325,28
10000,-0.747438,3.61815,0.86046,28
12000,-1.10519,3.31175,0.872809,28
12000,-1.25665,3.4603,0.874559,28
14000,-1.43192,3.62055,0.970905,28
16000,-1.59397,3.78025,1.07822,28
18000,-1.72793,3.8651,1.18787,28
20000,-1.86138,3.90189,1.30278,28
20000,-2.1152,3.9948,1.37913,28
18000,-2.28316,3.95303,1.34402,28
16000,-2.39794,3.85721,1.28436,28
4000,0.598718,5.53723,2.96552,28
6000,0.417005,5.39683,2.40047,28
6000,0.264239,5.25947,1.99593,28
8000,-0.106832,4.58759,1.32495,28
10000,-0.650936,3.71046,0.897766,28
10000,-0.805486,3.39637,0.842698,28
10000,-0.956598,3.27114,0.810491,28
12000,-1.30733,3.17955,0.877363,28
