approx y2,,Gaussian Function 1,,Gaussian Function 2,,Gaussian Function 3,,Gaussian Function 4,,Gaussian Function 5,,Gaussian Function 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,3.037507975240282,0.2291623870870909,,,2.350989588261003,-0.01198168283602108,3.2678353404426916,-0.06487017697095032,3.2678353404426916,-0.19969946117782778,1.8171300363577405,0.0007775478263543079
,,3.164674074374429,0.22362364324128015,,,2.5018629398858376,-0.031000739983398695,3.3954974072021686,-0.10024731307524037,3.3920157144723655,-0.13819127482811577,1.9447921031172157,0.01575342680536851
,,3.2910466253080513,0.18118154454267588,,,2.6237221854289734,-0.03138225663804439,3.523159473961644,-0.0927303129243997,3.523159473961644,-0.0921440986452402,2.072454169876692,0.036814768301381307
,,3.4187086920675283,0.11491556842091555,,,2.757187073404789,-0.0432284951592381,3.6160046134230805,-0.08158702234012649,3.63921589828844,-0.07077223523355869,2.200116236636168,0.04721259290981061
,,3.4955960731840294,0.04650440978022319,,,2.888717687641825,-0.06738289971830902,,,3.8133005347786346,-0.06951457257592031,2.332420560368715,0.056289184007230375
,,3.6043989709904016,0.023407722517025942,,,3.012511206923741,-0.061044826463075186,,,3.8829343893747117,-0.07030204739261636,2.4684967178918837,0.1081701499693013
,,3.725097652290269,-0.023959794564765158,,,3.1363047262056556,-0.0550715087593181,,,,,2.5831024369145954,0.13292399469700955
,,3.8249061772113135,-0.006651231940133062,,,3.2678353404426916,-0.05842181990018691,,,,,2.7068959561965107,0.15465996301818885
,,-2.22801302931596,0.2797152666859515,,,3.3954974072021686,-0.0854914622198053,,,,,2.797806821919168,0.16314808269476044
,,,,,,3.523159473961644,-0.09155788436607937,,,,,3.262032519226353,0.13679453653368068
,,,,,,3.63921589828844,-0.08003876317228587,,,,,3.3954974072021686,0.1178746457106179
,,,,,,3.8133005347786346,-0.07490774394419564,,,,,3.523159473961644,0.08852714219197555
,,,,,,3.929356959105431,-0.07465696389426091,,,,,3.63921589828844,0.05692911757152874
,,,,,,,,,,,,3.8133005347786346,0.015168267293642401
,,,,,,,,,,,,3.94096260153811,0.0017322942093516147
,,,,,,,,,,,,4.016399277350527,-0.007821898309415154
